Calendar Year,County,Juvenile Population,Violent Felony,Other Felony,Misd.,VOP,Status,Other CINS,Referrals,"Referral Rate/1,000",Youth Referred
2015,COOKE,3722,13,17,41,4,0,0,75,20,64
2016,COOKE,3802,12,13,33,13,0,0,71,18.67,60
2017,COOKE,3829,7,14,21,6,0,0,48,12.54,41
2018,COOKE,3841,10,18,28,5,0,0,61,16,52
2019,COOKE,3864,5,21,31,9,0,0,66,17,54
2020,COOKE,3868,1,32,21,1,0,0,55,14,43
2021,COOKE,3888,4,10,22,4,0,0,40,10.28806584,34
2013,CORYELL,8148,20,18,79,3,24,5,149,18.28669612,120
2014,CORYELL,8388,14,18,80,7,19,5,143,17.04816404,118
2015,CORYELL,8635,13,6,67,7,25,1,119,14,105
2016,CORYELL,9070,18,20,79,2,41,0,160,17.64,133
2017,CORYELL,9443,17,17,50,1,30,0,115,12.18,97
2018,CORYELL,9720,19,27,56,0,26,0,128,13,108
2019,CORYELL,10123,19,18,80,1,32,0,150,15,126
2020,CORYELL,10216,19,21,51,0,22,0,113,11,91
2021,CORYELL,10195,13,15,53,1,13,0,95,9.318293281,84
2013,COTTLE,165,0,0,0,0,0,0,0,0,0
2014,COTTLE,165,0,0,0,0,0,0,0,0,0
2015,COTTLE,163,1,0,0,0,0,0,1,6,1
2016,COTTLE,160,0,0,0,0,0,0,0,0,0
2017,COTTLE,153,0,0,0,0,0,0,0,0,0
2018,COTTLE,132,0,0,0,0,0,0,0,0,0
2019,COTTLE,128,0,1,0,0,0,0,1,8,1
2020,COTTLE,114,0,0,0,0,0,0,0,0,0
2021,COTTLE,105,0,1,0,0,0,0,1,9.523809524,1
2013,CRANE,495,0,1,3,5,0,0,9,18.18181818,7
2014,CRANE,507,2,3,7,0,0,0,12,23.66863905,12
2015,CRANE,514,0,1,10,8,1,0,20,39,14
2016,CRANE,510,0,4,10,8,0,0,22,43.14,20
2017,CRANE,482,1,3,5,4,0,0,13,26.97,11
2018,CRANE,476,0,1,4,2,0,0,7,15,7
2019,CRANE,480,2,3,2,0,0,0,7,15,5
2020,CRANE,498,2,3,2,0,0,0,7,14,6
2021,CRANE,486,0,1,1,1,0,0,3,6.172839506,3
2013,CROCKETT,354,0,3,6,0,0,0,9,25.42372881,7
2014,CROCKETT,365,0,1,3,0,1,0,5,13.69863014,5
2015,CROCKETT,365,0,7,3,0,0,0,10,27,8
2016,CROCKETT,370,0,1,0,0,0,0,1,2.7,1
2017,CROCKETT,392,0,0,0,0,0,0,0,0,0
2018,CROCKETT,407,0,0,1,0,0,0,1,2,1
2019,CROCKETT,413,1,3,0,0,0,0,4,10,4
2020,CROCKETT,408,0,2,0,0,0,4,6,15,6
2021,CROCKETT,396,0,0,0,0,0,0,0,0,0
2013,CROSBY,667,0,1,6,0,0,3,10,14.99250375,8
2014,CROSBY,686,0,2,3,0,0,0,5,7.288629738,5
2015,CROSBY,680,1,0,7,0,0,1,9,13,8
2016,CROSBY,705,0,3,4,0,0,0,7,9.93,7
2017,CROSBY,725,0,3,5,0,0,0,8,11.03,8
2018,CROSBY,750,1,4,2,0,0,0,7,9,7
2019,CROSBY,743,0,0,1,0,0,1,2,3,1
2020,CROSBY,758,0,1,1,0,0,1,3,4,3
2021,CROSBY,737,0,0,4,0,0,0,4,5.427408412,4
2013,CULBERSON,261,1,2,2,0,0,1,6,22.98850575,6
2014,CULBERSON,258,0,0,0,0,0,0,0,0,0
2015,CULBERSON,249,0,1,2,0,0,1,4,16,4
2016,CULBERSON,252,1,0,0,0,0,0,1,3.97,1
2017,CULBERSON,242,0,0,1,0,0,0,1,4.13,1
2018,CULBERSON,243,0,3,0,0,0,0,3,12,3
2019,CULBERSON,254,0,2,0,0,1,0,3,12,3
2020,CULBERSON,240,0,0,0,0,0,0,0,0,0
2021,CULBERSON,245,0,1,0,0,0,0,1,4.081632653,1
2013,DALLAM,755,1,2,3,2,1,1,10,13.24503311,10
2014,DALLAM,780,1,1,11,2,0,0,15,19.23076923,14
2015,DALLAM,796,1,4,1,1,0,1,8,10,8
2016,DALLAM,820,0,3,3,4,0,0,10,12.2,10
2017,DALLAM,832,2,5,5,2,0,0,14,16.83,12
2018,DALLAM,857,0,2,3,2,0,0,7,8,7
2019,DALLAM,874,0,0,4,0,0,0,4,5,4
2020,DALLAM,874,0,0,0,0,0,0,0,0,0
2021,DALLAM,873,3,2,4,0,0,0,9,10.30927835,9
2013,DALLAS,247859,572,801,2535,607,612,284,5411,21.83096034,4107
2014,DALLAS,250070,574,773,2419,528,700,271,5265,21.05410485,3944
2015,DALLAS,252978,544,714,2141,520,652,254,4825,19,3589
2016,DALLAS,256008,527,656,1682,471,542,218,4096,16,3135
2017,DALLAS,258457,628,566,1651,435,558,219,4057,15.7,3052
2018,DALLAS,260580,529,565,1475,519,503,232,3823,15,2888
2019,DALLAS,261606,564,682,1427,471,485,209,3838,15,3007
2020,DALLAS,263171,407,421,777,189,282,140,2216,8,1817
2021,DALLAS,269375,397,384,844,179,247,143,2194,8.144779582,1856
2013,DAWSON,1262,0,5,11,3,8,2,29,22.97939778,25
2014,DAWSON,1265,2,1,17,1,0,3,24,18.97233202,21
2015,DAWSON,1288,4,11,18,3,2,1,39,30,30
2016,DAWSON,1313,3,8,8,13,0,0,32,24.37,19
2017,DAWSON,1329,1,12,9,5,0,1,28,21.07,17
2018,DAWSON,1341,1,1,9,1,0,0,12,9,12
2019,DAWSON,1372,3,12,20,2,0,0,37,27,35
2020,DAWSON,1392,1,8,7,1,0,0,17,12,15
2021,DAWSON,1389,1,4,0,0,0,0,5,3.599712023,5
2013,DE WITT,1731,5,4,39,18,9,1,76,43.90525708,46
2014,DE WITT,1729,7,7,35,19,3,0,71,41.06419896,45
2015,DE WITT,1709,5,15,49,23,2,0,94,55,67
2016,DE WITT,1722,6,15,41,21,4,0,87,50.52,62
2017,DE WITT,1721,9,25,51,20,1,2,108,62.75,67
2018,DE WITT,1713,4,10,23,12,3,0,52,30,39
2019,DE WITT,1767,5,7,28,14,2,0,56,32,42
2020,DE WITT,1752,6,7,15,5,4,0,37,21,33
2021,DE WITT,1717,5,11,15,2,1,1,35,20.38439138,31
2013,DEAF SMITH,2419,4,12,30,15,9,13,83,34.31169905,72
2014,DEAF SMITH,2483,5,14,28,13,2,1,63,25.37253323,60
2015,DEAF SMITH,2490,9,7,26,13,3,3,61,24,55
2016,DEAF SMITH,2498,6,13,29,8,0,4,60,24.02,55
2017,DEAF SMITH,2526,6,16,37,13,2,12,86,34.05,75
2018,DEAF SMITH,2591,7,7,38,14,1,5,72,28,61
2019,DEAF SMITH,2611,7,10,26,14,0,3,60,23,54
2020,DEAF SMITH,2611,5,12,20,9,0,1,47,18,42
2021,DEAF SMITH,2611,6,12,24,5,2,0,49,18.76675603,46
2013,DELTA,449,1,4,4,0,7,0,16,35.63474388,15
2014,DELTA,438,0,5,1,4,5,0,15,34.24657534,9
2015,DELTA,437,1,4,4,0,0,0,9,21,6
2016,DELTA,435,1,0,4,1,0,0,6,13.79,6
2017,DELTA,432,0,2,5,0,0,0,7,16.2,6
2018,DELTA,418,0,1,1,1,0,0,3,7,3
2019,DELTA,424,0,1,0,0,0,0,1,2,1
2020,DELTA,419,1,0,1,0,0,0,2,5,2
2021,DELTA,420,1,0,0,0,0,0,1,2.380952381,1
2013,DENTON,77386,85,106,509,199,103,13,1015,13.11606751,779
2014,DENTON,79639,91,143,461,209,79,23,1006,12.63200191,753
2015,DENTON,81980,85,137,484,200,89,83,1078,13,776
2016,DENTON,83566,91,131,426,181,45,16,890,10.65,704
2017,DENTON,84625,89,168,457,177,61,13,965,11.4,736
2018,DENTON,85174,103,174,419,194,69,10,969,11,736
2019,DENTON,85342,106,184,417,237,80,12,1036,12,794
2020,DENTON,84972,92,191,253,151,39,5,731,9,548
2021,DENTON,84628,145,184,322,165,49,17,882,10.42208253,689
2013,DICKENS,193,0,0,1,0,0,0,1,5.18134715,1
2014,DICKENS,192,0,0,0,0,0,0,0,0,0
2015,DICKENS,197,0,0,0,0,0,0,0,0,0
2016,DICKENS,199,0,0,3,0,0,0,3,15.08,2
2017,DICKENS,203,1,0,0,1,0,0,2,9.85,2
2018,DICKENS,193,0,1,0,0,0,0,1,5,1
2019,DICKENS,178,0,0,1,0,0,0,1,6,1
2020,DICKENS,187,0,0,0,0,0,0,0,0,0
2021,DICKENS,179,0,0,0,0,0,0,0,0,0
2013,DIMMIT,1129,9,8,25,0,0,0,42,37.20106289,31
2014,DIMMIT,1137,2,4,14,0,7,0,27,23.74670185,23
2015,DIMMIT,1148,2,10,6,0,0,0,18,16,15
2016,DIMMIT,1158,0,7,17,1,0,0,25,21.59,18
2017,DIMMIT,1176,0,2,6,0,0,0,8,6.8,8
2018,DIMMIT,1138,4,3,6,0,0,0,13,11,11
2019,DIMMIT,1136,1,6,9,0,1,0,17,15,14
2020,DIMMIT,1144,1,1,4,0,1,0,7,6,7
2021,DIMMIT,1119,0,6,6,0,0,0,12,10.72386059,12
2013,DONLEY,277,0,0,3,0,0,0,3,10.83032491,3
2014,DONLEY,277,0,0,1,0,0,0,1,3.610108303,1
2015,DONLEY,267,2,7,5,0,0,0,14,52,9
2016,DONLEY,254,0,4,2,0,0,0,6,23.62,6
2017,DONLEY,260,0,0,0,0,0,0,0,0,0
2018,DONLEY,254,1,0,0,0,0,0,1,4,1
2019,DONLEY,277,0,0,1,0,0,0,1,4,1
2020,DONLEY,276,1,6,0,0,0,0,7,25,7
2021,DONLEY,270,0,2,1,0,0,0,3,11.11111111,3
2013,DUVAL,1151,3,10,27,3,51,4,98,85.14335361,80
2014,DUVAL,1144,2,9,12,8,54,1,86,75.17482517,75
2015,DUVAL,1177,6,14,12,4,12,1,49,42,37
2016,DUVAL,1178,14,8,30,10,0,4,66,56.03,44
2017,DUVAL,1137,4,2,9,4,0,0,19,16.71,18
2018,DUVAL,1165,4,10,34,3,0,2,53,45,43
2019,DUVAL,1195,2,2,9,3,0,0,16,13,15
2020,DUVAL,1197,0,0,0,0,0,0,0,0,0
2021,DUVAL,1205,4,5,7,0,0,0,16,13.2780083,16
2013,EASTLAND,1600,4,5,15,2,0,1,27,16.875,24
2014,EASTLAND,1585,5,7,6,0,0,0,18,11.35646688,16
2015,EASTLAND,1604,5,5,23,2,0,0,35,22,28
2016,EASTLAND,1610,2,4,2,0,0,1,9,5.59,7
2017,EASTLAND,1599,7,8,13,0,0,2,30,18.76,17
2018,EASTLAND,1610,4,15,11,1,4,1,36,22,33
2019,EASTLAND,1604,4,4,2,0,0,1,11,7,11
2020,EASTLAND,1571,2,9,4,0,0,0,15,10,15
2021,EASTLAND,1571,3,5,7,0,0,0,15,9.548058561,14
2013,ECTOR,15177,25,64,263,85,0,3,440,28.99123674,354
2014,ECTOR,15507,27,63,271,91,1,0,453,29.21261366,354
2015,ECTOR,15743,33,112,297,75,2,0,519,33,414
2016,ECTOR,15902,49,99,308,78,0,0,534,33.58,406
2017,ECTOR,16194,61,136,290,77,0,1,565,34.89,439
2018,ECTOR,16518,54,114,318,59,0,1,546,33,427
2019,ECTOR,16804,56,194,313,51,1,1,616,37,487
2020,ECTOR,16965,46,104,206,47,1,1,405,24,315
2021,ECTOR,17214,57,155,197,30,0,1,440,25.56059022,353
2013,EDWARDS,148,0,0,1,0,0,0,1,6.756756757,1
2014,EDWARDS,153,1,0,0,0,0,0,1,6.535947712,1
2015,EDWARDS,164,0,0,1,0,0,0,1,6,1
2016,EDWARDS,175,0,0,0,0,0,0,0,0,0
2017,EDWARDS,179,1,0,1,0,0,0,2,11.17,2
2018,EDWARDS,172,0,2,0,0,1,0,3,17,3
2019,EDWARDS,167,2,0,2,0,0,0,4,24,4
2020,EDWARDS,164,0,3,0,0,0,0,3,18,3
2021,EDWARDS,164,0,1,0,0,0,0,1,6.097560976,1
2013,EL PASO,95591,160,165,1302,436,50,0,2113,22.10459144,1582
2014,EL PASO,95437,143,195,1124,420,51,0,1933,20.25419911,1414
2015,EL PASO,95518,171,251,1103,517,37,1,2080,22,1445
2016,EL PASO,95294,152,236,964,474,47,13,1886,19.79,1316
2017,EL PASO,95035,139,217,1039,480,44,7,1926,20.27,1288
2018,EL PASO,94390,146,291,1063,454,7,1,1962,21,1334
2019,EL PASO,94198,124,356,934,450,1,0,1865,20,1320
2020,EL PASO,93463,110,212,559,175,0,0,1056,11,813
2021,EL PASO,94461,97,194,398,167,0,0,856,9.061940907,660
2013,ELLIS,18578,16,22,109,24,3,1,175,9.419743783,141
2014,ELLIS,18624,16,53,81,17,3,6,176,9.450171821,152
2015,ELLIS,18687,32,35,84,11,1,2,165,9,146
2016,ELLIS,18781,32,32,59,5,0,0,128,6.82,110
2017,ELLIS,18750,34,46,79,22,0,1,182,9.71,155
2018,ELLIS,18714,31,41,66,19,0,2,159,9,137
2019,ELLIS,18454,33,63,85,13,0,0,194,11,171
2020,ELLIS,18171,14,33,35,15,0,0,97,5,86
2021,ELLIS,18008,34,41,42,3,0,0,120,6.66370502,104
2013,ERATH,3198,2,9,21,1,7,1,41,12.82051282,35
2014,ERATH,3247,1,12,21,0,2,1,37,11.39513397,33
2015,ERATH,3303,6,12,16,0,3,3,40,12,40
2016,ERATH,3330,5,7,16,1,0,0,29,8.71,23
2017,ERATH,3363,4,7,19,1,0,0,31,9.22,30
2018,ERATH,3379,3,24,29,1,0,0,57,17,44
2019,ERATH,3461,5,8,10,0,0,1,24,7,23
2020,ERATH,3452,3,6,12,0,0,0,21,6,21
2021,ERATH,3516,1,5,5,1,0,0,12,3.412969283,10
2013,FALLS,1479,4,10,23,12,0,0,49,33.13049358,36
2014,FALLS,1498,5,3,24,23,2,0,57,38.05073431,33
2015,FALLS,1487,2,16,24,27,1,3,73,49,32
2016,FALLS,1517,5,7,15,30,1,1,59,38.89,31
2017,FALLS,1513,2,11,16,12,1,0,42,27.76,32
2018,FALLS,1524,4,6,12,6,1,0,29,19,25
2019,FALLS,1510,4,9,15,6,1,0,35,23,29
2020,FALLS,1529,5,2,4,2,0,0,13,9,11
2021,FALLS,1508,3,2,5,7,1,0,18,11.93633952,16
2013,FANNIN,2987,5,2,22,6,6,8,49,16.40441915,38
2014,FANNIN,3012,9,9,21,3,0,11,53,17.59628154,45
2015,FANNIN,3028,4,16,13,3,10,6,52,17,43
2016,FANNIN,3081,5,11,20,6,5,3,50,16.23,45
2017,FANNIN,3062,6,15,20,12,3,5,61,19.92,45
2018,FANNIN,3029,8,15,17,6,5,0,51,17,42
2019,FANNIN,3057,6,15,23,6,0,1,51,17,43
2020,FANNIN,3026,5,12,3,2,5,6,33,11,29
2021,FANNIN,2991,11,12,8,1,0,1,33,11.0330993,31
2013,FAYETTE,2192,1,3,13,3,0,1,21,9.580291971,19
2014,FAYETTE,2159,4,1,14,1,0,0,20,9.263547939,19
2015,FAYETTE,2149,1,7,12,0,0,0,20,9,18
2016,FAYETTE,2146,1,4,5,0,0,0,10,4.66,8
2017,FAYETTE,2145,0,4,5,1,0,1,11,5.13,11
2018,FAYETTE,2123,4,3,8,0,0,0,15,7,13
2019,FAYETTE,2139,3,5,19,0,0,0,27,13,23
2020,FAYETTE,2103,4,10,4,1,0,0,19,9,15
2021,FAYETTE,2094,10,4,16,1,0,0,31,14.80420248,29
2013,FISHER,325,3,0,3,0,0,0,6,18.46153846,5
2014,FISHER,322,0,0,5,0,0,0,5,15.52795031,4
2015,FISHER,309,1,0,6,0,0,0,7,23,4
2016,FISHER,317,0,5,0,0,0,0,5,15.77,5
2017,FISHER,317,0,0,3,0,0,0,3,9.46,3
2018,FISHER,318,0,0,1,0,0,0,1,3,1
2019,FISHER,305,0,0,0,0,0,0,0,0,0
2020,FISHER,306,0,0,0,0,0,0,0,0,0
2021,FISHER,303,0,0,3,0,0,0,3,9.900990099,3
2013,FLOYD,734,0,0,11,0,1,1,13,17.71117166,13
2014,FLOYD,720,1,9,5,1,1,1,18,25,17
2015,FLOYD,717,2,1,10,1,1,0,15,21,13
2016,FLOYD,710,5,9,17,0,2,0,33,46.48,28
2017,FLOYD,696,0,5,4,2,4,0,15,21.55,15
2018,FLOYD,714,0,1,10,1,1,0,13,18,13
2019,FLOYD,693,0,3,5,1,1,0,10,14,8
2020,FLOYD,684,0,6,6,0,0,0,12,18,11
2021,FLOYD,676,0,6,3,0,1,0,10,14.79289941,7
2013,FOARD,107,0,0,0,0,0,0,0,0,0
2014,FOARD,106,0,0,0,0,0,0,0,0,0
2015,FOARD,102,1,0,0,0,0,0,1,10,1
2016,FOARD,105,0,0,0,0,0,0,0,0,0
2017,FOARD,95,0,0,2,0,0,0,2,21.05,1
2018,FOARD,93,1,0,1,0,0,0,2,22,2
2019,FOARD,84,0,0,3,0,0,0,3,36,3
2020,FOARD,85,1,0,1,0,0,0,2,24,1
2021,FOARD,85,0,1,0,0,0,0,1,11.76470588,1
2013,FORT BEND,76809,104,158,705,228,83,86,1364,17.75833561,1075
2014,FORT BEND,78816,92,184,711,226,93,15,1321,16.76055623,1002
2015,FORT BEND,80416,88,156,657,235,71,10,1217,15,939
2016,FORT BEND,81724,99,148,571,178,48,4,1048,12.82,838
2017,FORT BEND,82589,119,117,553,174,40,3,1006,12.18,812
2018,FORT BEND,82854,159,196,601,205,36,5,1202,15,963
2019,FORT BEND,83042,143,191,610,173,65,6,1188,14,967
2020,FORT BEND,82592,103,154,385,93,29,4,768,9,631
2021,FORT BEND,81093,77,153,347,80,32,3,692,8.533412255,587
2013,FRANKLIN,1013,2,0,1,0,2,0,5,4.935834156,5
2014,FRANKLIN,1040,1,2,5,1,0,0,9,8.653846154,7
2015,FRANKLIN,1093,0,2,5,0,1,0,8,7,8
2016,FRANKLIN,1104,3,3,7,0,0,0,13,11.78,10
2017,FRANKLIN,1128,4,5,3,0,0,1,13,11.52,12
2018,FRANKLIN,1137,1,3,7,0,0,0,11,10,9
2019,FRANKLIN,1122,1,1,4,0,0,0,6,5,6
2020,FRANKLIN,1160,0,2,0,0,0,0,2,2,2
2021,FRANKLIN,1125,1,6,3,0,0,0,10,8.888888889,9
2013,FREESTONE,1871,1,4,22,11,2,1,41,21.91341529,29
2014,FREESTONE,1876,2,1,8,1,0,0,12,6.396588486,9
2015,FREESTONE,1890,0,13,9,4,2,0,28,15,18
2016,FREESTONE,1879,2,2,12,4,0,0,20,10.64,14
2017,FREESTONE,1861,3,6,11,0,1,0,21,11.28,18
2018,FREESTONE,1846,2,2,18,3,1,2,28,15,21
2019,FREESTONE,1796,3,6,12,3,0,0,24,13,22
2020,FREESTONE,1788,1,2,2,1,0,0,6,3,6
2021,FREESTONE,1773,2,2,5,0,0,0,9,5.076142132,9
2013,FRIO,1665,8,15,30,0,3,3,59,35.43543544,51
2014,FRIO,1653,1,5,31,0,6,1,44,26.61826981,37
2015,FRIO,1664,4,5,33,4,4,0,50,30,43
2016,FRIO,1692,1,8,18,1,7,0,35,20.69,32
2017,FRIO,1665,4,5,21,4,6,0,40,24.02,33
2018,FRIO,1666,1,4,17,1,7,0,30,18,28
2019,FRIO,1630,0,4,14,0,7,0,25,15,21
2020,FRIO,1658,3,2,1,0,4,1,11,7,9
2021,FRIO,1677,4,5,10,0,1,1,21,12.52236136,20
2013,GAINES,2377,2,6,28,6,6,0,48,20.19352125,37
2014,GAINES,2482,0,9,19,2,3,0,33,13.29572925,25
2015,GAINES,2573,0,8,28,2,7,1,46,18,38
2016,GAINES,2657,0,2,20,4,6,1,33,12.42,25
2017,GAINES,2720,4,13,25,2,4,0,48,17.65,42
2018,GAINES,2805,2,5,33,7,3,0,50,18,41
2019,GAINES,2889,3,13,30,2,4,2,54,19,46
2020,GAINES,2975,0,4,15,1,2,1,23,8,22
2021,GAINES,2972,3,11,15,0,3,0,32,10.76716016,30
2013,GALVESTON,29766,54,111,550,393,11,18,1137,38.19794396,604
2014,GALVESTON,30126,94,141,653,503,4,16,1411,46.83661953,666
2015,GALVESTON,30131,96,131,593,340,3,16,1179,39,595
2016,GALVESTON,30046,58,117,555,299,5,6,1040,34.61,562
2017,GALVESTON,30081,56,110,485,257,8,42,958,31.85,513
2018,GALVESTON,30096,90,118,571,228,6,2,1015,34,566
2019,GALVESTON,30198,87,169,538,346,3,0,1143,38,579
2020,GALVESTON,30131,56,110,247,212,7,4,636,21,324
2021,GALVESTON,30147,70,97,273,158,2,1,601,19.93564865,361
2013,GARZA,454,0,4,2,0,1,0,7,15.4185022,5
2014,GARZA,455,0,0,5,1,0,1,7,15.38461538,7
2015,GARZA,450,0,0,8,0,1,0,9,20,9
2016,GARZA,441,0,0,1,1,0,0,2,4.54,2
2017,GARZA,468,1,2,3,0,0,0,6,12.82,6
2018,GARZA,467,0,2,0,0,0,0,2,4,2
2019,GARZA,513,3,0,0,0,0,0,3,6,3
2020,GARZA,514,0,2,1,0,0,0,3,6,3
2021,GARZA,531,0,0,0,0,0,0,0,0,0
2013,GILLESPIE,2101,2,3,24,0,3,0,32,15.23084246,27
2014,GILLESPIE,2099,2,6,8,0,1,5,22,10.48118152,21
2015,GILLESPIE,2077,4,7,9,2,0,4,26,13,24
2016,GILLESPIE,2047,3,2,9,2,1,6,23,11.24,22
2017,GILLESPIE,2003,1,3,11,0,2,2,19,9.49,16
2018,GILLESPIE,2011,3,2,6,3,5,18,37,18,35
2019,GILLESPIE,1997,4,8,15,0,2,20,49,25,44
2020,GILLESPIE,1951,5,3,6,0,0,3,17,9,15
2021,GILLESPIE,1911,2,4,6,0,1,1,14,7.326007326,13
2013,GLASSCOCK,134,0,0,0,0,0,0,0,0,0
2014,GLASSCOCK,129,0,0,0,0,0,0,0,0,0
2015,GLASSCOCK,126,0,0,0,0,0,0,0,0,0
2016,GLASSCOCK,126,0,1,0,0,0,0,1,7.94,1
2017,GLASSCOCK,123,0,0,0,0,0,0,0,0,0
2018,GLASSCOCK,123,0,0,0,0,0,0,0,0,0
2019,GLASSCOCK,124,0,0,0,0,0,0,0,0,0
2020,GLASSCOCK,115,0,0,0,0,0,0,0,0,0
2021,GLASSCOCK,113,0,0,0,0,0,0,0,0,0
2013,GOLIAD,683,0,4,5,1,0,0,10,14.64128843,8
2014,GOLIAD,682,2,1,9,1,0,0,13,19.06158358,8
2015,GOLIAD,676,0,1,3,0,0,0,4,6,4
2016,GOLIAD,655,0,0,11,1,0,0,12,18.32,8
2017,GOLIAD,635,0,10,2,0,0,0,12,18.9,10
2018,GOLIAD,651,0,2,0,0,1,0,3,5,3
2019,GOLIAD,610,1,3,6,3,0,0,13,21,10
2020,GOLIAD,602,0,2,8,3,0,0,13,22,11
2021,GOLIAD,582,2,0,13,0,0,0,15,25.77319588,15
2013,GONZALES,2135,3,11,15,3,1,1,34,15.92505855,25
2014,GONZALES,2161,7,10,18,8,6,0,49,22.67468764,38
2015,GONZALES,2180,3,9,23,7,0,0,42,19,30
2016,GONZALES,2183,4,2,14,6,3,0,29,13.28,25
2017,GONZALES,2210,7,9,17,8,1,1,43,19.46,34
2018,GONZALES,2214,4,4,19,3,0,0,30,14,26
2019,GONZALES,2226,10,5,18,3,1,0,37,17,32
2020,GONZALES,2179,7,7,24,2,0,0,40,18,34
2021,GONZALES,2173,11,6,25,4,0,0,46,21.16889093,40
2013,GRAY,2075,4,10,51,8,9,2,84,40.48192771,72
2014,GRAY,2121,4,4,40,3,20,0,71,33.47477605,57
2015,GRAY,2246,3,6,42,5,19,2,77,34,65
2016,GRAY,2318,1,3,20,4,14,0,42,18.12,39
2017,GRAY,2357,3,1,22,4,7,1,38,16.12,33
2018,GRAY,2441,7,7,28,6,6,0,54,22,48
2019,GRAY,2490,7,6,29,6,6,0,54,22,43
2020,GRAY,2535,1,20,33,5,13,0,72,28,59
2021,GRAY,2570,4,9,40,0,9,1,63,24.51361868,55
2013,GRAYSON,11704,31,51,153,42,0,0,277,23.66712235,220
2014,GRAYSON,11671,35,44,141,61,1,1,283,24.24813641,215
2015,GRAYSON,11769,34,50,100,58,1,0,243,21,196
2016,GRAYSON,11813,21,47,104,55,0,0,227,19.22,172
2017,GRAYSON,11707,23,50,113,51,3,0,240,20.5,191
2018,GRAYSON,11699,22,43,93,56,0,0,214,18,161
2019,GRAYSON,11664,38,64,104,40,0,1,247,21,188
2020,GRAYSON,11716,30,34,63,18,0,0,145,12,119
2021,GRAYSON,11671,25,43,67,14,0,0,149,12.76668666,123
2013,GREGG,11894,29,59,244,56,15,3,406,34.13485791,299
2014,GREGG,12088,27,35,167,46,18,2,295,24.40436797,223
2015,GREGG,12254,23,40,153,26,22,0,264,22,201
2016,GREGG,12417,21,64,139,28,13,5,270,21.74,195
2017,GREGG,12560,24,36,102,12,6,2,182,14.49,162
2018,GREGG,12772,34,49,114,19,10,6,232,18,187
2019,GREGG,12855,20,33,108,13,4,0,178,14,158
2020,GREGG,12976,19,21,75,2,3,1,121,9,107
2021,GREGG,13113,24,31,68,2,1,0,126,9.608785175,107
2013,GRIMES,2395,4,8,21,2,0,0,35,14.61377871,26
2014,GRIMES,2426,6,4,21,8,0,1,40,16.48804617,26
2015,GRIMES,2428,2,6,23,3,0,1,35,14,31
2016,GRIMES,2438,3,12,37,4,0,0,56,22.97,41
2017,GRIMES,2456,0,4,23,3,0,0,30,12.21,17
2018,GRIMES,2426,1,5,32,5,0,2,45,19,39
2019,GRIMES,2413,0,11,15,4,0,2,32,13,26
2020,GRIMES,2367,3,3,7,1,0,0,14,6,13
2021,GRIMES,2324,2,4,13,1,0,4,24,10.32702238,23
2013,GUADALUPE,15769,25,37,191,69,115,14,451,28.60041854,302
2014,GUADALUPE,15936,25,37,156,75,83,8,384,24.09638554,259
2015,GUADALUPE,16116,20,30,136,79,45,5,315,20,222
2016,GUADALUPE,16215,15,42,119,45,70,3,294,18.13,209
2017,GUADALUPE,16330,25,39,150,60,49,1,324,19.84,228
2018,GUADALUPE,16325,28,40,146,71,26,3,314,19,205
2019,GUADALUPE,16353,37,51,158,46,45,4,341,21,258
2020,GUADALUPE,16388,19,46,78,31,20,0,194,12,156
2021,GUADALUPE,16301,24,52,93,22,23,0,214,13.12802896,179
2013,HALE,3981,3,17,66,16,5,1,108,27.12886209,91
2014,HALE,4061,7,14,42,23,1,2,89,21.91578429,73
2015,HALE,4084,9,21,45,18,2,1,96,24,83
2016,HALE,4116,4,7,44,14,1,5,75,18.22,63
2017,HALE,4093,6,28,60,11,1,1,107,26.14,92
2018,HALE,4139,5,10,41,23,0,2,81,20,67
2019,HALE,4153,11,11,40,25,0,0,87,21,63
2020,HALE,4177,6,15,23,18,0,0,62,15,52
2021,HALE,4179,4,19,43,8,0,8,82,19.62191912,73
2013,HALL,360,0,0,0,0,0,0,0,0,0
2014,HALL,334,1,0,0,0,0,0,1,2.994011976,1
2015,HALL,337,0,2,0,0,0,0,2,6,2
2016,HALL,328,0,3,5,0,0,0,8,24.39,7
2017,HALL,334,1,0,7,2,0,0,10,29.94,7
2018,HALL,311,0,1,2,0,0,0,3,10,2
2019,HALL,311,1,0,1,0,0,0,2,6,2
2020,HALL,299,1,1,1,0,0,0,3,10,3
2021,HALL,297,1,1,1,0,0,0,3,10.1010101,2
2013,HAMILTON,741,2,7,5,2,0,0,16,21.59244265,12
2014,HAMILTON,724,2,1,3,0,0,0,6,8.287292818,6
2015,HAMILTON,677,2,1,5,0,0,1,9,13,7
2016,HAMILTON,691,2,6,3,0,0,0,11,15.92,10
2017,HAMILTON,674,2,9,3,0,0,0,14,20.77,12
2018,HAMILTON,663,4,5,6,0,0,0,15,23,15
2019,HAMILTON,673,1,0,1,0,1,0,3,4,3
2020,HAMILTON,666,0,0,1,0,0,0,1,2,1
2021,HAMILTON,657,0,0,0,0,0,0,0,0,0
2013,HANSFORD,654,0,3,0,0,0,0,3,4.587155963,3
2014,HANSFORD,660,2,5,3,1,0,0,11,16.66666667,8
